Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
12/31/2018,1/5/2019,Mountain 1,123.79,977
12/31/2018,1/5/2019,Mountain 2,106.93,946
12/31/2018,1/5/2019,Mountain 3,138.42,1277
1/1/2019,1/5/2019,Mountain 1,0.00,0
1/1/2019,1/5/2019,Mountain 2,0.00,0
1/1/2019,1/5/2019,Mountain 3,0.00,0
1/2/2019,1/5/2019,Mountain 1,287.69,2767
1/2/2019,1/5/2019,Mountain 2,201.27,2118
1/2/2019,1/5/2019,Mountain 3,309.46,3709
1/3/2019,1/5/2019,Mountain 1,302.88,2945
1/3/2019,1/5/2019,Mountain 2,217.36,2357
1/3/2019,1/5/2019,Mountain 3,334.06,4340
1/4/2019,1/5/2019,Mountain 1,300.13,2829
1/4/2019,1/5/2019,Mountain 2,207.07,2287
1/4/2019,1/5/2019,Mountain 3,302.50,4379
1/5/2019,1/5/2019,Mountain 1,30.84,79
1/5/2019,1/5/2019,Mountain 2,0.00,0
1/5/2019,1/5/2019,Mountain 3,13.84,55
1/6/2019,1/12/2019,Mountain 1,0.00,0
1/6/2019,1/12/2019,Mountain 2,0.00,0
1/6/2019,1/12/2019,Mountain 3,0.00,0
1/7/2019,1/12/2019,Mountain 1,344.51,3609
1/7/2019,1/12/2019,Mountain 2,243.65,3002
1/7/2019,1/12/2019,Mountain 3,367.06,5389
1/8/2019,1/12/2019,Mountain 1,285.15,2863
1/8/2019,1/12/2019,Mountain 2,218.83,2636
1/8/2019,1/12/2019,Mountain 3,287.50,3963
1/9/2019,1/12/2019,Mountain 1,279.11,2753
1/9/2019,1/12/2019,Mountain 2,198.14,2247
1/9/2019,1/12/2019,Mountain 3,290.49,4062
1/10/2019,1/12/2019,Mountain 1,265.97,2614
1/10/2019,1/12/2019,Mountain 2,191.62,2219
1/10/2019,1/12/2019,Mountain 3,272.36,3815
1/11/2019,1/12/2019,Mountain 1,259.45,2420
1/11/2019,1/12/2019,Mountain 2,180.35,2000
1/11/2019,1/12/2019,Mountain 3,258.40,3425
1/12/2019,1/12/2019,Mountain 1,36.61,59
1/12/2019,1/12/2019,Mountain 2,0.00,0
1/12/2019,1/12/2019,Mountain 3,13.78,45
1/13/2019,1/19/2019,Mountain 1,0.00,0
1/13/2019,1/19/2019,Mountain 2,0.00,0
1/13/2019,1/19/2019,Mountain 3,0.00,0
1/14/2019,1/19/2019,Mountain 1,244.95,2301
1/14/2019,1/19/2019,Mountain 2,187.85,1920
1/14/2019,1/19/2019,Mountain 3,246.53,3292
1/15/2019,1/19/2019,Mountain 1,249.05,2410
1/15/2019,1/19/2019,Mountain 2,168.37,1937
1/15/2019,1/19/2019,Mountain 3,245.89,3159
1/16/2019,1/19/2019,Mountain 1,246.80,2306
1/16/2019,1/19/2019,Mountain 2,177.49,1896
1/16/2019,1/19/2019,Mountain 3,265.96,3432
1/17/2019,1/19/2019,Mountain 1,253.64,2453
1/17/2019,1/19/2019,Mountain 2,169.15,1933
1/17/2019,1/19/2019,Mountain 3,262.49,3651
1/18/2019,1/19/2019,Mountain 1,259.81,2286
1/18/2019,1/19/2019,Mountain 2,180.15,1832
1/18/2019,1/19/2019,Mountain 3,242.24,3098
1/19/2019,1/19/2019,Mountain 1,33.11,75
1/19/2019,1/19/2019,Mountain 2,0.00,0
1/19/2019,1/19/2019,Mountain 3,16.80,61
1/20/2019,1/26/2019,Mountain 1,0.00,0
1/20/2019,1/26/2019,Mountain 2,0.00,0
1/20/2019,1/26/2019,Mountain 3,0.00,0
1/21/2019,1/26/2019,Mountain 1,238.24,2186
1/21/2019,1/26/2019,Mountain 2,167.28,1801
1/21/2019,1/26/2019,Mountain 3,265.28,3327
1/22/2019,1/26/2019,Mountain 1,269.80,2397
1/22/2019,1/26/2019,Mountain 2,157.91,1839
1/22/2019,1/26/2019,Mountain 3,255.20,3207
1/23/2019,1/26/2019,Mountain 1,204.95,1817
1/23/2019,1/26/2019,Mountain 2,142.86,1620
1/23/2019,1/26/2019,Mountain 3,217.87,2814
1/24/2019,1/26/2019,Mountain 1,273.49,2521
1/24/2019,1/26/2019,Mountain 2,170.42,1940
1/24/2019,1/26/2019,Mountain 3,262.34,3367
1/25/2019,1/26/2019,Mountain 1,243.82,2187
1/25/2019,1/26/2019,Mountain 2,161.92,1916
1/25/2019,1/26/2019,Mountain 3,243.14,3192
1/26/2019,1/26/2019,Mountain 1,30.07,51
1/26/2019,1/26/2019,Mountain 2,0.00,0
1/26/2019,1/26/2019,Mountain 3,12.08,48
1/27/2019,2/2/2019,Mountain 1,0.00,0
1/27/2019,2/2/2019,Mountain 2,0.00,0
1/27/2019,2/2/2019,Mountain 3,0.00,0
1/28/2019,2/2/2019,Mountain 1,250.60,2219
1/28/2019,2/2/2019,Mountain 2,154.27,1786
1/28/2019,2/2/2019,Mountain 3,240.70,3112
1/29/2019,2/2/2019,Mountain 1,239.67,2311
1/29/2019,2/2/2019,Mountain 2,148.10,1802
1/29/2019,2/2/2019,Mountain 3,209.95,2749
1/30/2019,2/2/2019,Mountain 1,234.49,2162
1/30/2019,2/2/2019,Mountain 2,145.54,1788
1/30/2019,2/2/2019,Mountain 3,236.23,3171
1/31/2019,2/2/2019,Mountain 1,212.53,1991
1/31/2019,2/2/2019,Mountain 2,139.85,1689
1/31/2019,2/2/2019,Mountain 3,213.99,2861
2/1/2019,2/2/2019,Mountain 1,231.00,2096
2/1/2019,2/2/2019,Mountain 2,154.17,1784
2/1/2019,2/2/2019,Mountain 3,241.30,3031
2/2/2019,2/2/2019,Mountain 1,32.12,60
2/2/2019,2/2/2019,Mountain 2,0.00,0
2/2/2019,2/2/2019,Mountain 3,12.77,67
2/3/2019,2/9/2019,Mountain 1,0.00,0
2/3/2019,2/9/2019,Mountain 2,0.00,0
2/3/2019,2/9/2019,Mountain 3,0.00,0
2/4/2019,2/9/2019,Mountain 1,234.11,2220
